ax,ay,az,label
908,15884,6632,A
844,15884,6668,A
852,15820,6632,A
964,15720,6632,A
1036,15636,6732,A
956,15652,6688,A
908,15584,6592,A
784,15576,6480,A
812,15544,6468,A
860,15452,6516,A
852,15420,6588,A
856,15368,6500,A
820,15384,6348,A
824,15288,6380,A
904,15196,6272,A
904,15188,6228,A
932,15224,6260,A
944,15224,6204,A
848,15312,6184,A
776,15364,6184,A
752,15348,6188,A
724,15364,6260,A
676,15336,6180,A
724,15544,6144,A
788,15448,6060,A
832,15500,6160,A
700,15548,6196,A
580,15600,6056,A
640,15524,6252,A
556,15436,6800,A
704,15364,5960,A
704,15728,5652,A
588,15796,6512,A
536,15796,6628,A
548,15700,6772,A
580,15524,6772,A
616,15252,6656,A
732,15564,4648,A
436,15712,6148,A
444,15680,6404,A
568,15568,6564,A
684,15440,6280,A
736,15348,6588,A
836,15196,6288,A
708,15824,4844,A
536,15696,6476,A
528,15664,6776,A
528,15444,6660,A
752,15356,6228,A
988,15356,7276,A
948,14984,5600,A
1076,14908,5600,A
752,15808,4672,A
692,15692,6648,A
716,15592,6876,A
908,15396,6440,A
984,15184,6416,A
908,14828,7068,A
908,15100,4840,A
648,16076,5052,A
588,15816,6896,A
820,15564,6996,A
1044,15380,6260,A
1044,15156,6440,A
1040,14728,7264,A
996,14728,4316,A
1020,15316,5316,A
728,16276,5316,A
592,16020,7208,A
664,15664,7120,A
1028,15324,6196,A
968,15156,6392,A
868,14660,7740,A
1044,15128,4248,A
732,16388,4568,A
632,16028,7148,A
776,15740,7096,A
1064,15492,6208,A
1064,15080,6640,A
1188,14372,7536,A
1008,15116,3860,A
1048,15116,4808,A
704,16444,7568,A
608,15992,7568,A
764,15696,7460,A
1012,15332,6176,A
1128,14980,6692,A
1108,14284,7976,A
1044,15116,3940,A
516,16520,4636,A
568,16088,7680,A
616,15752,7548,A
952,15340,6236,A
1240,14992,6560,A
1240,14220,7928,A
1032,14820,3800,A
1124,14820,4292,A
616,16492,7696,A
456,16120,7696,A
604,15720,7416,A
1000,15240,6280,A
1132,14980,6572,A
1004,14280,8140,A
1072,14736,4436,A
672,16560,3724,A
440,16244,7892,A
648,15724,7784,A
1060,15372,6676,A
1176,15048,6396,A
1012,14308,8168,A
1012,14684,5180,A
1060,16364,3192,A
712,16364,7664,A
388,16316,7684,A
568,15852,7684,A
988,15400,6720,A
1128,15108,6216,A
980,14376,8296,A
948,14476,5620,A
672,16356,2912,A
424,16452,7540,A
496,15936,7696,A
880,15436,6952,A
1224,15184,6016,A
1008,14488,8004,A
992,14388,6180,A
992,16076,2508,A
760,16488,7100,A
412,16488,7656,A
572,15956,7192,A
784,15484,7192,A
1216,15184,5712,A
1124,14604,7736,A
1140,14288,6796,A
892,15808,2496,A
504,16632,6476,A
484,16052,7700,A
712,15548,7228,A
1200,15276,5556,A
1056,14940,7248,A
1040,14392,7552,A
1040,15444,2648,A
968,16684,5596,A
396,16092,7712,A
436,16092,7264,A
624,15784,5868,A
1196,15384,5868,A
1076,14940,7048,A
1024,14384,8096,A
1092,15276,3324,A
500,16764,4560,A
416,16296,7616,A
588,15756,7380,A
952,15396,6008,A
1084,15056,6460,A
984,14348,8244,A
1056,14904,4296,A
1056,16636,3536,A
520,16352,7524,A
384,16352,7504,A
556,15908,6560,A
920,15404,6348,A
1136,15096,6348,A
1120,14404,8256,A
1136,14596,5280,A
816,16460,2848,A
424,16564,7512,A
636,15904,7540,A
936,15484,6708,A
1144,15152,6056,A
1076,14416,8164,A
1140,14432,6024,A
768,16156,2544,A
768,16540,7240,A
336,15992,7640,A
456,15992,6828,A
888,15476,5804,A
1232,15156,5804,A
1024,14520,7936,A
1044,14340,6576,A
972,15984,2320,A
364,16772,6648,A
580,16148,7600,A
792,15612,7176,A
1152,15216,5908,A
1136,14740,7756,A
1160,14260,7344,A
996,15672,2552,A
488,16768,6040,A
488,16180,7704,A
492,15656,7280,A
684,15656,5880,A
1108,15268,7360,A
1136,14840,7360,A
1188,14324,7540,A
1008,15512,2848,A
472,16836,5296,A
480,16356,7696,A
716,15828,7284,A
1280,15308,5968,A
1152,14908,7304,A
1100,14520,7968,A
1048,15224,3108,A
624,16784,4480,A
496,16400,7848,A
496,15824,7440,A
664,15320,5980,A
1076,15320,6752,A
1208,15036,8088,A
1116,14448,8088,A
1180,14980,3756,A
544,16776,3600,A
432,16468,7680,A
716,15956,7436,A
1012,15424,6132,A
1264,15104,6336,A
