ax,ay,az,
2664,15880,4936,
2612,15932,4992,
2576,16000,5124,
2564,15996,5060,
2584,16080,5072,
2596,16060,5052,
2564,16104,5040,
2632,16116,5192,
2684,16204,4880,
2588,16248,4812,
2504,16292,5084,
2504,16304,5252,
2452,16336,5340,
2480,16336,5448,
2480,16176,5656,
2404,16260,5656,
2452,16268,5548,
2524,16264,5688,
2464,16172,5668,
2448,16288,5736,
2564,16276,5624,
2576,16308,5732,
2592,16336,5828,
2636,16232,5616,
2564,16208,5576,
2608,16192,5560,
2656,16248,5488,
2656,16196,5444,
2568,16160,5336,
2548,16160,5172,
2580,16204,5108,
2604,16076,5124,
2556,16032,5124,
2528,16056,5248,
2548,16044,5316,
2436,16036,5184,
2504,15892,5244,
2460,15952,5256,
2344,15868,5088,
2416,15852,5064,
2420,15888,5036,
2340,15860,5128,
2264,15936,5008,
2264,15852,4896,
2348,15812,4948,
2268,15792,5008,
2180,15792,4984,
2168,15884,5104,
2184,15932,5104,
2148,15836,5156,
2072,15880,5248,
2132,15836,5244,
2032,15960,5384,
2156,16040,5408,
2152,15984,5416,
2220,16000,5344,
2132,16028,5356,
2104,16016,5300,
2100,16012,5148,
2068,16068,5068,
2068,16012,5128,
2244,16124,5152,
2164,16124,4964,
2232,16148,4964,
2212,16108,4964,
2348,16120,4856,
2444,16140,4980,
2380,16248,4988,
2252,16172,4876,
2200,16160,4856,
2212,16208,4780,
2276,16196,4772,
2244,16192,4704,
2224,16212,4592,
2388,16256,4676,
2304,16228,4772,
2304,16160,4716,
2344,16152,4676,
2320,16140,4800,
2220,16140,4712,
2276,16204,4692,
2380,16132,4692,
2304,16128,4732,
2256,16064,4796,
2320,16164,4736,
2204,16276,4700,
2192,16184,4652,
2256,16240,4620,
2344,16192,4516,
2288,16188,4548,
2376,16180,4716,
2380,16136,4712,
2292,16168,4668,
2292,16084,4692,
2292,16064,4460,
2212,16064,4684,
2292,16124,4728,
2344,16080,4728,
2240,16176,4672,
2216,16004,4604,
2256,16096,4648,
2256,16248,4560,
2312,16188,4444,
2396,16144,4464,
2288,16064,4336,
2276,16008,4384,
2208,15968,4520,
2248,16000,4492,
2284,16008,4636,
2284,16052,4588,
2204,16024,4504,
2144,16024,4532,
2248,16056,4660,
2212,16068,4660,
2276,16024,4660,
2240,16144,4596,
2132,16076,4648,
2224,16108,4700,
2220,16028,4620,
2072,15964,4576,
2056,16016,4672,
2036,16016,4608,
2120,16004,4600,
2080,15928,4584,
2056,16012,4660,
2056,15928,4588,
2012,15884,4528,
2052,15908,4424,
2004,15908,4468,
2000,15996,4300,
1948,15908,4300,
2044,15924,4388,
1920,15880,4428,
1992,15848,4376,
2012,15852,4128,
2012,15920,4212,
1964,15948,4204,
2020,15972,4260,
2048,16044,4172,
2068,16028,4132,
2108,15944,4180,
2100,15992,4252,
2100,16036,4188,
2172,15956,4168,
2024,15956,4136,
1992,15992,4036,
1980,16016,4036,
1988,16048,4076,
2024,16032,4044,
1864,16060,4204,
1840,16080,4220,
2000,16100,4280,
1976,16136,4260,
